adult,backdrop_path,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count,production_companies_name,production_companies_country
False,/uJlc4aNPF3Y8yAqahJTKBwgwPVW.jpg,0,"['Drama', 'Romance']",,8773,tt0055747,fr,L'Amour à vingt ans,Love at Twenty unites five directors from five different countries to present their different perspectives on what love really is at the age of 20. The episodes are united with the score of Georges Delerue and still photos of Henri Cartier-Bresson.,3.77,/aup2QCYCsyEeQfpboXy0f4uj8aE.jpg,"['DE', 'FR', 'IT', 'JP', 'PL']",1962-06-22,0,110,"['it', 'ja', 'pl', 'fr', 'de']",Released,The Intimate Secrets of Young Lovers,Love at Twenty,False,6.7,41,"['Ulysse Productions', 'Unitec Films', 'Cinesecolo', 'TOHO', 'Beta Film', 'Film Polski', 'Zespół Filmowy ""Kamera""']","['', 'NZ', 'IT', 'JP', 'DE', 'PL', '']"
False,/s9rWmLANsVlSV4XmuC0IUcseGzO.jpg,0,['Drama'],,108,tt0108394,fr,Trois couleurs : Bleu,"Julie is haunted by her grief after living through a tragic auto wreck that claimed the life of her composer husband and young daughter. Her initial reaction is to withdraw from her relationships, lock herself in her apartment and suppress her pain. But avoiding human interactions on the bustling streets of Paris proves impossible, and she eventually meets up with Olivier, an old friend who harbors a secret love for her, and who could draw her back to reality.",13.814,/33wsWxzsNstI8N7dvuwzFmj1qBd.jpg,"['FR', 'PL', 'CH']",1993-08-01,0,98,"['fr', 'pl']",Released,,Three Colors: Blue,False,7.7,1421,"['France 3 Cinéma', 'CED Productions', 'Miramax']","['FR', '', 'US']"
False,/2eBL3wXDZqemW8SJ1RNxqtx6bgJ.jpg,0,"['Comedy', 'Drama', 'Mystery']",,109,tt0111507,fr,Trois couleurs : Blanc,"Polish immigrant Karol Karol finds himself out of a marriage, a job and a country when his French wife, Dominique, divorces him after six months due to his impotence. Forced to leave France after losing the business they jointly owned, Karol enlists fellow Polish expatriate Mikołaj to smuggle him back to their homeland.",13.473,/fdIet3NSa27gobMbaUml66oCQNT.jpg,"['FR', 'PL']",1994-01-26,0,92,"['fr', 'hu', 'pl']",Released,,Three Colors: White,False,7.482,989,"['Le Studio Canal+', 'France 3 Cinéma', 'Eurimages', 'Miramax']","['FR', 'FR', 'FR', 'US']"
False,/A9IY3j3Hwf4Q8Q9w5QxSQPYSvCu.jpg,0,"['Drama', 'Mystery', 'Romance']",,110,tt0111495,fr,Trois couleurs : Rouge,"Valentine, a student model in Geneva, struggles with a possessive boyfriend and a troubled family. When she runs over a dog, she discovers that its owner, a retired judge, is illegally wiretapping and eavesdropping on his neighbors' phone calls. Although Valentine is outraged, she develops a strange bond with the judge – and as the two become closer, she finds herself caught in the middle of events that could change her life.",12.935,/JHmsBiX1tjCKqAul1lzC20WcAW.jpg,"['FR', 'PL', 'CH']",1994-05-12,0,100,['fr'],Released,,Three Colors: Red,False,7.957,1160,"['Zespół Filmowy TOR', 'Le Studio Canal+', 'France 3 Cinéma', 'TSR']","['PL', 'FR', 'FR', 'CH']"
False,/63HcRYJI4LKeo8sINlL71ZtlUFY.jpg,0,['Drama'],,147,tt0053198,fr,Les Quatre Cents Coups,"For young Parisian boy Antoine Doinel, life is one difficult situation after another. Surrounded by inconsiderate adults, including his neglectful parents, Antoine spends his days with his best friend, Rene, trying to plan for a better life. When one of their schemes goes awry, Antoine ends up in trouble with the law, leading to even more conflicts with unsympathetic authority figures.",13.839,/12PuU23kkDLvTd0nb8hMlE3oShB.jpg,['FR'],1959-06-03,0,99,"['en', 'fr']",Released,Angel faces hell-bent for violence.,The 400 Blows,False,8.071,1843,"['Les Films du Carrosse', 'Sédif Productions']","['FR', 'FR']"
False,/uusNog5m2aCuL53rrKw8RaBnprb.jpg,0,['Documentary'],,160,tt0000012,fr,L'arrivée d'un train à La Ciotat,"Likely in June 1897, a group of people are standing along the platform of a railway station in La Ciotat, waiting for a train. One is seen coming, at some distance, and eventually stops at the platform. Doors of the railway-cars open and attendants help passengers off and on.  Popular legend has it that, when this film was shown, the first-night audience fled the café in terror, fearing being run over by the ""approaching"" train. This legend has since been identified as promotional embellishment, though there is evidence to suggest that people were astounded at the capabilities of the Lumières' cinématographe.",8.229,/m5HSlaNCzwV95rAriDmT19el5h1.jpg,['FR'],1897-10-10,0,1,['xx'],Released,,The Arrival of a Train at La Ciotat,False,7.099,409,['Lumière'],['']
False,/9B3NnLM7Uct4eSB5Th9aqVQa8uT.jpg,0,"['Drama', 'Romance', 'Comedy']",,166,tt0082100,fr,La Boum,"A thirteen-year-old French girl deals with moving to a new city and school in Paris, while at the same time her parents are getting a divorce.",11.894,/9MWrgGzJ3eBemfAaOr9sof206CW.jpg,['FR'],1980-12-17,0,110,['fr'],Released,,The Party,False,6.605,1019,"['Productions Marcel Dassault', 'Gaumont', 'Gaumont International']","['FR', 'FR', 'FR']"
False,/3oNDTUxv2lLWMqt5R12A0vM5dBn.jpg,0,"['Comedy', 'Romance', 'Drama']",,171,tt0083686,fr,La Boum 2,A young French teenage girl after moving to a new city falls in love with a boy and is thinking of having sex with him because her girlfriends have already done it.,9.257,/pbkccDoxH1H1VdqWcQYycZxHTIK.jpg,['FR'],1982-12-08,0,109,['fr'],Released,,The Party 2,False,6.454,570,"['Productions Marcel Dassault', 'Gaumont', 'Gaumont International']","['FR', 'FR', 'FR']"
False,/2oum8FkgH1AiDWhmhEw8nbtoHdJ.jpg,14390509,"['Adventure', 'Drama', 'Romance']",,175,tt0095250,fr,Le Grand Bleu,"Two men answer the call of the ocean in this romantic fantasy-adventure.  Jacques and Enzo are a pair of friends who have been close since childhood, and who share a passion for the dangerous sport of free diving. Professional diver Jacques opted to follow in the footsteps of his father, who died at sea when Jacques was a boy; to the bewilderment of scientists, Jacques harbors a remarkable ability to adjust his heart rate and breathing pattern in the water, so that his vital signs more closely resemble that of dolphins than men.  As Enzo persuades a reluctant Jacques to compete against him in a free diving contest -- determining who can dive deeper and longer without scuba gear -- Jacques meets Johana, a beautiful insurance investigator from America, and he finds that he must choose between his love for her and his love of the sea.",16.11,/vbi56h6a1BGjnhq2RnUrcQZs2aV.jpg,"['FR', 'IT', 'US']",1988-05-10,0,168,"['en', 'fr', 'it']",Released,Danger...Like Passion...Runs Deep,The Big Blue,False,7.459,1262,['Gaumont'],['FR']
False,/9Y9K6LeLrMeofOvX7hZW36Aj3OG.jpg,10000000,"['Comedy', 'Romance']",https://www.miramax.com/movie/amelie/,194,tt0211915,fr,Le Fabuleux Destin d'Amélie Poulain,"At a tiny Parisian café, the adorable yet painfully shy Amélie accidentally discovers a gift for helping others. Soon Amelie is spending her days as a matchmaker, guardian angel, and all-around do-gooder. But when she bumps into a handsome stranger, will she find the courage to become the star of her very own love story?",26.104,/oTKduWL2tpIKEmkAqF4mFEAWAsv.jpg,"['FR', 'DE']",2001-04-25,173921954,122,"['fr', 'ru']",Released,One person can change your life forever.,Amélie,False,7.902,10469,"['France 3 Cinéma', 'Claudie Ossard Productions', 'MMC Independent', 'Tapioca Films', 'Sofica Sofinergie 5', 'Victoires Productions', 'Canal+', 'Filmstiftung Nordrhein-Westfalen', 'Union Générale Cinématographique (UGC)', 'Miramax']","['FR', '', '', '', '', '', 'FR', 'DE', 'FR', 'US']"
False,/sdNPipjZoOJFuTBwH8EyEb5dsKv.jpg,0,"['Drama', 'Thriller', 'Adventure']",,204,tt0046268,fr,Le Salaire de la peur,"In a run-down South American town, four men are paid to drive trucks loaded with nitroglycerin into the jungle through to the oil field. Friendships are tested and rivalries develop as they embark upon the perilous journey.",9.529,/dZyZSosIlWcpQkV0f7pXcrV2TQV.jpg,"['FR', 'IT']",1953-04-22,0,153,"['fr', 'en', 'es', 'it', 'de']",Released,Dynamic Tremendous Shattering.,The Wages of Fear,False,8.026,747,"['Compagnie Industrielle et Commerciale Cinématographique (CICC)', 'Véra Films', 'Fono Roma', 'Filmsonor']","['FR', 'FR', 'IT', 'FR']"
False,/h39p97Pn0b55PV63PislftZslhk.jpg,350000,"['Comedy', 'Drama', 'Romance']",,255,tt0062695,fr,Baisers volés,"The third in a series of films featuring François Truffaut's alter-ego, Antoine Doinel, the story resumes with Antoine being discharged from military service. His sweetheart Christine's father lands Antoine a job as a security guard, which he promptly loses. Stumbling into a position assisting a private detective, Antoine falls for his employers' seductive wife, Fabienne, and finds that he must choose between the older woman and Christine.",7.981,/5qHh1Vp2TOOX5IaTVt4wyT8OTnR.jpg,['FR'],1968-09-04,1500000,90,['fr'],Released,Antoine knows what he wants to do ... his problem is doing it.,Stolen Kisses,False,7.3,355,"['Les Films du Carrosse', 'Les Productions Artistes Associés']","['FR', 'FR']"
False,/ymtwNtiuZwbYa1Vetp68VOGgrw3.jpg,0,"['Comedy', 'Drama', 'Romance']",,256,tt1180329,fr,Antoine et Colette,"Now aged 17, Antoine Doinel works in a factory which makes records. At a music concert, he meets a girl his own age, Colette, and falls in love with her. Later, Antoine goes to extraordinary lengths to please his new girlfriend and her parents, but Colette still only regards him as a casual friend. First segment of “Love at Twenty” (1962).",8.614,/nfP8J7pv75KOAliIM3RG7h6Zos5.jpg,['FR'],1962-06-22,0,30,['fr'],Released,Will Colette ultimately fall for Antoine's romanticism?,Antoine and Colette,False,7.2,215,['Les Films du Carrosse'],['FR']
False,/4MyxINPUlXyvOOGAS91EwNr2AOa.jpg,0,"['Comedy', 'Drama', 'Romance']",http://www.janusfilms.com/films/1168,258,tt0065651,fr,Domicile conjugal,"Parisian everyman Antoine Doinel has married his sweetheart Christine Darbon, and the newlyweds have set up a cozy domestic life of selling flowers and giving violin lessons while Antoine fitfully works on his long-gestating novel. As Christine becomes pregnant with the couple's first child, Antoine finds himself enraptured with a young Japanese beauty. The complications change the course of their relationship forever.",5.91,/s9R5wKbrB9SfOG1FzbICbOsssX8.jpg,"['FR', 'IT']",1970-09-09,0,97,['fr'],Released,First Truffaut gave us The 400 Blows. Then Stolen Kisses... and now Bed and Board.,Bed and Board,False,7.245,216,"['Valoria Films', 'Fida Cinematografica', 'Les Films du Carrosse']","['FR', 'IT', 'FR']"
False,/7LmhNfSkSkE296AvQbLZK4jgbnp.jpg,0,"['Comedy', 'Drama', 'Romance']",,259,tt0078771,fr,L'Amour en fuite,"Antoine is now 30, working as a proofreader and getting divorced from his his wife. It being the first ""no-fault"" divorce in France, a media circus erupts, dredging up Antoine's past. Indecisive about his new love with a store clerk, he impulsively takes off with an old flame.",8.446,/hEtuFlpeb5ZU5fa5klkKA5Q3G36.jpg,['FR'],1979-01-24,0,93,['fr'],Released,Antoine Doinel. He's got four ladies ... Nine lives ... and Plenty of alibis!,Love on the Run,False,7.1,169,['Les Films du Carrosse'],['FR']
False,/65VvjEscRHZNCCg63GmRfGU66v9.jpg,900000,['Drama'],,266,tt0057345,fr,Le Mépris,"A philistine in the art film business, Jeremy Prokosch is a producer unhappy with the work of his director. Prokosch has hired Fritz Lang to direct an adaptation of ""The Odyssey,"" but when it seems that the legendary filmmaker is making a picture destined to bomb at the box office, he brings in a screenwriter to energize the script. The professional intersects with the personal when a rift develops between the writer and his wife.",10.185,/aQUDdxuWQvXMGzZw0VmvGYrPtk9.jpg,"['FR', 'IT']",1963-10-29,528428,103,"['en', 'fr', 'de', 'it']",Released,"More Bold! More Brazen! And Much, Much More Bardot!",Contempt,False,7.14,691,"['Rome Paris Films', 'Les Films Concordia', 'Compagnia Cinematografica Champion']","['', 'FR', 'IT']"
False,/5VGmkeXybclhOqBaLprigVG9Ucz.jpg,0,"['Drama', 'Crime']",,269,tt0053472,fr,À bout de souffle,"A small-time thief steals a car and impulsively murders a motorcycle policeman. Wanted by the authorities, he attempts to persuade a girl to run away to Italy with him.",13.45,/9Wx0Wdn2EOqeCZU4SP6tlS3LOml.jpg,['FR'],1960-03-16,0,90,"['fr', 'en']",Released,,Breathless,False,7.593,1562,"['Les Films Impéria', 'Les Productions Georges de Beauregard', 'Société Nouvelle de Cinématographie (SNC)']","['FR', 'FR', 'FR']"
False,/bHePzkyRcMhnab2qZbhj1bCElnf.jpg,6000000,"['Comedy', 'Drama', 'Fantasy']",http://www.lasciencedesreves-lefilm.com/accueil.htm,300,tt0354899,fr,La Science des rêves,A man entranced by his dreams and imagination is lovestruck with a French woman and feels he can show her his world.,8.741,/1qCq228LsNtUseCnNE7Naw6NBUz.jpg,"['FR', 'IT']",2006-02-11,9524340,105,"['en', 'fr', 'es']",Released,Close your eyes. Open your heart.,The Science of Sleep,False,7.052,655,"['Partizan Films', 'Gaumont', 'France 3 Cinéma', 'TPS Star', 'Mikado Film', 'Canal+']","['', 'FR', 'FR', 'FR', 'IT', 'FR']"
False,/cxhc4KO48wHgJ5Vqa7v3dFsJSou.jpg,0,['Drama'],https://www.sonyclassics.com/ibrahim/home.html,337,tt0329388,fr,Monsieur Ibrahim et les Fleurs du Coran,"Paris, 1960s. Momo, a resolute and independent Jewish teenager who lives with his father, a sullen and depressed man, in a working-class neighborhood, develops a close friendship with Monsieur Ibrahim, an elderly Muslim who owns a small grocery store.",9.028,/lS4hx9X5v6cpoCzzQohZs7zD881.jpg,['FR'],2003-09-17,11576431,91,"['fr', 'tr']",Released,,Monsieur Ibrahim,False,7.028,125,"['ARP Sélection', 'France 5']","['FR', 'FR']"
False,/qJyv8aRRwPhI5jX98XMmluWEdDq.jpg,0,['Comedy'],http://www.crustaces-lefilm.com/,349,tt0428430,fr,Crustacés et coquillages,Crustacés et coquillages is a fresh French comedy film with numerous surprise turnarounds and about the tolerance of a family of four. The family spend an idealistic summer vacation together where each of the family members gets involved in a new or old relationship.,2.664,/eQPrrzj76pQxmprQ3LpHhriZqlJ.jpg,['FR'],2005-03-30,0,93,['fr'],Released,,Cockles and Muscles,False,6.1,28,['Bac Films'],['FR']
